,fen,label,stock_fish_label
0,r1qrn1k1/pp1b1pbp/3p2p1/1PnPp3/P1N1P3/2N2PP1/4Q1BP/1RB1R1K1 b - - 4 23,True,1
1,2r3k1/2r2pp1/2PR3p/1q2p3/p1R5/2Q1P1K1/5P1P/8 w - - 0 32,False,0
2,3k3r/3q1pb1/NRp1p1p1/1pPp2Qp/3P4/2P3P1/5P1P/6K1 b - - 7 38,True,1
3,2nk3r/r3bp2/1p2p3/p2pP1p1/Q1pPqPP1/2P1BR1p/1R2B2P/6K1 w - - 0 31,False,0
4,6r1/p2p1k2/2p1pp1p/1pP5/8/P3B1nP/1P6/R3KB2 w Q - 2 27,True,1
5,4bk2/1q3p1R/1r2r1n1/1p1pP1P1/1PpP2B1/p1P1BQK1/P7/7R w - - 9 50,True,1
6,r7/kb1r1pb1/1p2p1pn/1qp1Pn1p/p2pNP1P/P2P2PB/NPPBQ3/1K2R1R1 w - - 12 26,True,0
7,4r3/p4pk1/R4n1p/1n1P2p1/3R2P1/2r2B1P/P3P3/7K w - - 2 32,False,0
8,6k1/1pN2pp1/2nB2qp/4Pp1B/5b2/1bP5/5PPP/3Q2K1 w - - 4 27,True,1
9,8/1R6/3k4/1P2pp2/1r6/4K3/8/8 w - - 2 36,False,0
10,8/6P1/7P/8/3k2K1/6R1/8/7r b - - 2 68,True,1
11,r1bk2nr/ppp2pbp/2n3p1/4p3/2P1PP2/2N5/PP4PP/R1B1KBNR w KQ - 1 8,True,1
12,3r2k1/5pp1/6p1/1p2P1n1/1Br3P1/1R2P2P/2p2P2/2R3K1 w - - 4 33,False,0
13,3r1rk1/p2nqppp/1pb2b2/3p4/2pP4/P1N1PNP1/1PQ2PBP/3R1RK1 w - - 1 17,True,1
14,2r1brk1/3q3p/2pp4/1p3pB1/1P2p3/P3P1P1/3R1P1P/Q1R3K1 w - - 3 36,True,1
15,5rk1/1p2qpbp/p7/4pp2/2p5/R1PrPPBP/1P3QP1/5RK1 w - - 2 34,False,0
16,rnbqkb1r/p4ppp/2p1pn2/1p6/2QP4/2N2N2/PP2PPPP/R1B1KB1R w KQkq - 0 7,True,1
17,1r1r2k1/4ppb1/1p2n1p1/p1p1P1P1/P1B1bPNR/1PP5/3BK3/6R1 b - - 10 40,True,1
18,8/2p1k3/1p6/pP6/P2b2P1/4p2R/3r4/4N1K1 w - - 3 52,False,0
19,5r2/1p1k1p2/1q2p1p1/3p2P1/3N3Q/pPP2R2/P7/2K5 b - - 0 44,True,1
20,2R5/5p2/5kp1/2b4p/4PP1P/6P1/r7/7K b - - 4 43,False,0
21,r4r1k/5pbp/1q1P4/2p1Bp2/p7/1pP3QP/5PP1/RR4K1 b - - 3 29,False,0
22,4rrk1/1pq4p/p5P1/2Ppb2P/1P1Np1Q1/P1P2p1R/R4P2/4K3 b - - 0 29,False,0
23,4b3/pp3pkp/7r/P1rp3p/5P1R/R1PBPP2/3K4/8 w - - 5 45,False,0
24,r1bqkb1r/pp2pp1p/2n2np1/3p4/2PP4/2N2N2/PP3PPP/R1BQKB1R w KQkq - 0 7,True,1
25,8/5p1k/8/3Pn1pp/R1N1P3/4KPrP/8/8 b - - 2 47,True,1
26,rnbq1rk1/ppp1ppbp/3p1np1/8/2PPP3/2N2N2/PP2BPPP/R1BQK2R b KQ - 3 6,True,1
27,5r1n/1p4k1/4Bqpr/pPpPb3/K1N1Pp2/P2P4/6R1/2Q3R1 w - - 19 36,True,1
28,7r/8/1pkp2R1/3p1p2/1K1Pn1p1/2P3B1/1P4R1/5r2 b - - 1 46,False,0
29,8/2p2kp1/p4n2/3p4/3P3p/bP1Q1Pn1/PNK1rB2/R4B1q w - - 4 38,False,0
30,r3qrk1/2p1b1pp/p1nppn2/1p2p3/3PP3/2P2N1P/PP3PP1/RNBQR1K1 w - - 1 12,True,1
31,2rr2k1/pp3p1p/1np3p1/8/P1P4P/1QR2NP1/4qPK1/R7 b - - 2 23,True,1
32,4rk2/2p2np1/p1q2p1p/2P5/8/1R2B2P/P1Q2PPK/8 b - - 69 67,True,1
33,rnb2rk1/1pp3bp/3p4/p2Ppp1n/2P4q/2NBBP1N/PP1Q2PP/R3K2R w KQ - 2 12,True,1
34,8/1k6/3q4/PP3p2/4b3/2Q5/2P5/1K6 w - - 3 55,False,0
35,8/1R5p/2p3k1/5pP1/p1r5/2P2K1P/PP6/8 w - - 0 32,False,1
36,8/1pq1kp2/1r1p4/3Pb3/b2NPpp1/Q1P5/1BP3P1/1K1R4 w - - 6 37,False,0
37,rnbqk2r/1p2ppb1/p2p1np1/8/3NP2p/2N1BP1P/PPPQ2P1/R3KB1R w KQkq - 0 10,True,1
38,3r4/4qk2/8/5p2/3Q1P2/3B4/P3NK2/8 w - - 1 48,True,1
39,6k1/1nq1rr1p/1p1p2p1/pPnR4/P1R1p3/4Q2P/B5PK/4B3 w - - 4 42,True,1
40,1r1q1rk1/1p2npbp/2np2p1/p1pNp3/2P3b1/P1N3P1/1P1PPPBP/1RBQ1RK1 w - - 6 13,True,1
